architecture_name,l1_lambda,sparse_dim,encoder_dim,decoder_dim,avg_mse,avg_nonzero_acts
0,1.0,256,,,0.2570235073566437,29.20361065673828
1,2.0,256,,,0.2828445001244545,11.011567108154297
3,4.0,256,,,0.31589799696207044,2.847456359863281
4,0.5,256,,,0.2303392745256424,65.38878311157227
5,0.25,256,,,0.214788252055645,87.14597064208985
6,1.0,256,128.0,,0.2549859851002693,12.6453193359375
7,2.0,256,128.0,,0.2856294037699699,3.5438930358886718
8,4.0,256,128.0,,0.3167076900601387,0.41889596557617187
9,0.5,256,128.0,,0.21444898656010628,41.233663879394534
10,0.25,256,128.0,,0.19633209788799286,56.317388214111325
11,1.0,256,128.0,128.0,0.23543581855297088,10.150614562988281
12,2.0,256,128.0,128.0,0.24424129366874694,3.1644942321777343
14,0.5,256,128.0,128.0,0.22263824993371964,24.13364926147461
15,0.25,256,128.0,128.0,0.22095026460289954,52.81805932617188
